Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,Jenis Rekomendasi Optimasi_Melakukan Beamforming dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi Load Balancing dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi MEC dan Carrier Aggregation,Jenis Rekomendasi Optimasi_Melakukan Optimasi Power Control,cluster,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
106.35329073,-6.30440258,-87.12,7.000000000000001,34772.14,23123.85,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-85.84716999999998,7.890449999999993,36443.427039999995,25139.443864999994
106.3532903,-6.3043998,-88.25,4.999999999999999,21211.85,18081.72,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-85.6323,8.039899999999985,23303.579420000016,20372.88802000001
106.35328482,-6.30439435,-87.19,4.999999999999999,25550.53,17938.86,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-85.639105,7.815125000000001,30406.99443000002,19273.368785000002
106.35327268,-6.30438493,-89.0,7.000000000000001,16802.88,22057.26,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-85.68589999999999,8.633999999999995,18678.643610000017,24100.564259999996
106.35325319,-6.30437244,-93.88,0.0,16058.489999999998,21964.3,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-91.41259999999998,2.4578999999999973,18342.843860000004,23413.97389500001
106.35322391,-6.30434969,-97.0,9.000000000000002,22948.79,19697.25,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-92.09779999999998,10.010599999999995,22828.908570000007,21850.235744999994
106.35320006,-6.3043236,-96.81,4.999999999999999,17921.38,16141.1,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-93.68869999999997,6.676199999999984,20399.86937999999,19493.542820000002
106.35317317,-6.30429282,-90.12,7.500000000000001,20785.47,18772.0,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-87.86916999999998,9.226850000000011,22569.294080000025,21251.317644999992
106.35314676,-6.30427132,-85.44,13.0,15943.74,19013.34,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-80.26827999999999,17.963749999999987,20838.851190000012,23536.397419999987
106.353115,-6.30424729,-82.88,8.000000000000002,29354.57,17953.91,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,0,-78.451135,11.758375000000006,32651.7559,20488.990910000015
106.35308349,-6.30421914,-81.56,3.0,40356.68,24505.3,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-80.34867000000001,6.688550000000013,37737.05516000002,25531.86206
106.35305805,-6.30419667,-80.69,4.000000000000001,19798.47,15555.32,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,2,-80.82752499999998,6.668825000000005,20786.81086,22130.865560000002
106.35303729,-6.30417825,-94.62,8.500000000000002,19495.4,12435.24,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-91.50159999999998,10.531099999999975,21938.232799999998,12986.474589999994
106.35299992,-6.30414801,-93.25,4.999999999999999,19098.72,19797.41,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.6665,6.741599999999993,20803.323089999998,22847.242165
106.35294866,-6.30410632,-93.0,10.499999999999998,59407.57,50275.66,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-90.4957,12.650700000000013,53397.43199999999,46591.39930000001
106.35290635,-6.30407312,-92.5,12.5,42079.94,16309.430000000002,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-90.506105,12.740525000000014,40654.617239999985,18758.024594999988
