Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,Jenis Rekomendasi Optimasi_Melakukan Beamforming dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi Load Balancing dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi MEC dan Carrier Aggregation,Jenis Rekomendasi Optimasi_Melakukan Optimasi Power Control,cluster,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
107.09326734,-6.38968332,-91.04,-0.7500000000000007,1022.0799999999999,590.89,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.26539999999999,1.9407999999999725,1433.8670499999982,1051.079414999999
107.09326751,-6.38968414,-93.34,2.329999999999999,1.47,11.83,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-90.545,4.766000000000003,821.1758500000003,589.8642100000006
107.09326751,-6.38968414,-93.48,2.249999999999999,1339.94,10403.32,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-90.68670000000003,4.76420000000001,2966.753460000004,12015.423100000016
107.09326751,-6.38968414,-91.3,1.0000000000000009,5303.84,14019.97,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.81959999999995,3.4825000000000172,7055.731100000003,16529.35917
107.09326751,-6.38968414,-92.28,0.5000000000000004,10298.49,15563.69,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.66249999999995,2.905000000000011,11327.173769999996,18355.323650000013
107.09326751,-6.38968414,-91.58,2.4999999999999996,18193.6,14106.28,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.83119999999995,5.116700000000019,20245.37801000001,16607.41610999998
107.09326751,-6.38968414,-92.22,3.7500000000000004,19183.28,15755.180000000002,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.26179999999995,6.071600000000015,21216.986889999986,18389.350769999994
107.09326751,-6.38968414,-91.5,4.499999999999998,14626.62,14972.77,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.57390000000004,6.8133000000000425,16103.54977,17419.737354999972
107.09326751,-6.38968414,-90.68,4.330000000000001,20763.78,15554.300000000001,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-87.79219499999998,6.829225000000004,22712.4525,18925.770174999987
107.09326751,-6.38968414,-90.99,1.7500000000000016,15759.49,19440.22,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.93410000000002,4.869999999999979,16653.001310000003,21847.619614999996
107.09326751,-6.38968414,-93.03,1.250000000000001,17352.35,14899.979999999998,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-90.1945,3.6849999999999605,19332.67104999998,17404.85509000001
107.09326751,-6.38968414,-92.12,0.0,19318.24,16085.44,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.56150000000004,2.524199999999983,20902.01245000003,18870.31595999998
107.09326751,-6.38968414,-93.1,3.25,12080.08,15613.8,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-90.10930000000003,5.817499999999954,13154.64128000001,18104.279224999973
107.09326751,-6.38968414,-93.24,3.5000000000000004,9802.89,11966.2,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-90.41739999999999,6.018399999999973,10743.09126000001,13332.75546000002
107.09326751,-6.38968414,-92.61,4.499999999999998,5383.39,3177.05,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.62589999999997,6.911700000000027,5798.042030000004,3897.334014999999
107.09326751,-6.38968414,-91.23,0.7500000000000007,11889.31,18205.39,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.02159999999999,2.7182999999999957,12302.914140000006,21213.950755
107.09326751,-6.38968414,-98.0,-2.329999999999999,10879.14,16399.01,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-86.25366999999999,12.475199999999981,17324.06981999999,24917.658294999997
107.09326751,-6.38968414,-96.81,-2.4999999999999996,11433.55,14365.940000000002,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-85.74666999999997,12.823499999999983,17452.64396999999,23521.920855000026
107.09326751,-6.38968414,-97.84,-1.250000000000001,5434.8,11866.67,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-86.40339999999998,13.946599999999972,7622.135700000008,18361.768959999994
107.09326751,-6.38968414,-92.73,-1.7500000000000016,3151.44,10224.29,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.69220000000003,1.1991000000000052,3979.132410000002,11739.57984500002
107.09326287,-6.38968977,-92.7,-6.25,3311.39,4699.83,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-81.33670000000004,9.243300000000039,5112.429450000001,7195.279199999996
107.09325708,-6.38970234,-90.71,-1.5000000000000013,0.0,0.0,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-87.78849999999998,1.276599999999991,466.28482999999994,417.021625
107.09324968,-6.38971899,-90.48,-2.249999999999999,197.93,9811.89,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-87.56310000000002,0.8513999999999944,4385.116670000005,10362.486815000002
