Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,Jenis Rekomendasi Optimasi_Melakukan Beamforming dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi Load Balancing dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi MEC dan Carrier Aggregation,Jenis Rekomendasi Optimasi_Melakukan Optimasi Power Control,cluster,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
106.5484877,-7.36281565,-106.69,7.000000000000001,21029.29,3660.8800000000006,Melakukan Optimasi Load Balancing dan Handover Tuning,1.0,0.0,0.0,0.0,1,-93.44561499999998,17.999924999999976,21679.45464,6406.456615000004
106.54845591,-7.3628169,-103.0,7.000000000000001,30002.620000000003,3875.34,Melakukan Optimasi Load Balancing dan Handover Tuning,1.0,0.0,0.0,0.0,2,-95.16585500000001,10.781524999999991,35663.11607999999,3707.9980549999987
106.54842877,-7.36281577,-102.12,3.0,35537.41,4919.65,Melakukan Beamforming dan Handover Tuning,0.0,1.0,0.0,0.0,2,-94.675615,7.226875000000003,40403.65548999999,5278.949405
106.54840904,-7.36281618,-102.12,3.0,31698.49,5646.760000000001,Melakukan Beamforming dan Handover Tuning,0.0,1.0,0.0,0.0,2,-93.845485,6.892675000000011,34489.00541999998,5967.950299999999
106.54840101,-7.36281634,-100.5,6.0,35178.83,5296.48,Melakukan Optimasi Load Balancing dan Handover Tuning,1.0,0.0,0.0,0.0,2,-94.31926,10.307199999999982,41870.04084,4665.232909999998
106.54835554,-7.36281505,-97.31,6.0,38395.78,12932.32,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-93.29409500000001,9.600774999999983,43648.293819999984,7381.774609999999
106.54832258,-7.36281442,-104.25,1.999999999999999,28423.18,7892.72,Melakukan Beamforming dan Handover Tuning,0.0,1.0,0.0,0.0,1,-92.60429999999998,15.613399999999976,25112.951999999987,10969.364960000004
106.54829694,-7.3628132,-99.0,3.0,21432.105,6439.62,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-92.64130000000002,4.885799999999998,21641.913260000005,7536.346635000002
106.54827003,-7.36281199,-97.25,4.000000000000001,21432.105,6439.62,Melakukan Optimasi Load Balancing dan Handover Tuning,1.0,0.0,0.0,0.0,2,-93.30080000000001,7.147299999999984,21697.389779999998,7046.517819999997
106.54824281,-7.36281021,-96.0,4.000000000000001,21432.105,6439.62,Melakukan Optimasi Load Balancing dan Handover Tuning,1.0,0.0,0.0,0.0,2,-92.9129,7.1006999999999865,21761.167780000003,7088.689354999997
106.5482137,-7.36280815,-103.88,1.999999999999999,21432.105,6439.62,Melakukan Beamforming dan Handover Tuning,0.0,1.0,0.0,0.0,1,-92.47890499999995,15.756774999999983,21877.91726,10445.446005000002
106.54818589,-7.36280371,-101.81,4.000000000000001,2143.08,160.95,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-90.12830000000002,18.60310000000001,2770.4283000000005,1226.6280000000004
106.54815633,-7.36279596,-101.56,7.500000000000001,32233.18,6021.39,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-94.24569,10.663599999999988,35660.94923999997,5477.093179999998
106.54812882,-7.36278869,-103.88,5.499999999999999,34021.4,7209.07,Melakukan Beamforming dan Handover Tuning,0.0,1.0,0.0,0.0,2,-94.54205,9.626899999999994,39613.46534999999,5917.7538399999985
106.54810341,-7.36278028,-99.0,7.000000000000001,34011.87,8469.59,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-93.09890000000001,9.729499999999982,37681.607989999975,7047.355329999998
106.54807893,-7.36277804,-94.75,9.000000000000002,37191.73,7470.33,Melakukan Optimasi Load Balancing dan Handover Tuning,1.0,0.0,0.0,0.0,2,-92.74365,11.065699999999978,43871.858190000006,6551.673619999997
106.54804947,-7.36277303,-98.31,4.499999999999998,32394.62,6083.49,Melakukan Optimasi Load Balancing dan Handover Tuning,1.0,0.0,0.0,0.0,2,-93.49425,8.961799999999995,35975.29748999998,6244.4331749999965
106.5480242,-7.36276828,-99.88,3.0,21532.65,6426.28,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,2,-92.62110000000001,4.832399999999999,21641.782910000005,7292.026720000004
106.54799902,-7.3627605,-98.62,3.0,5264.87,5316.68,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-87.67900000000003,14.81089999999998,7426.230750000001,9089.344159999995
106.54797403,-7.36275283,-101.88,4.000000000000001,28570.09,12082.200000000003,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,2,-94.1867,7.759950000000007,30462.229479999976,10301.054935000006
106.54794675,-7.36274737,-102.5,5.499999999999999,23902.21,8209.43,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,2,-94.41343000000002,9.014699999999987,26706.090959999998,7699.710865000005
106.5479218,-7.36274237,-100.38,3.5000000000000004,29356.83,3958.43,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,2,-93.47123,6.677299999999995,29401.673769999998,5270.276164999998
106.54791631,-7.36274127,-101.31,4.999999999999999,14448.55,4292.08,Melakukan Beamforming dan Handover Tuning,0.0,1.0,0.0,0.0,1,-90.82210499999998,19.17527499999997,19073.270969999987,5515.609164999998
106.54785882,-7.36273181,-107.12,3.0,15144.630000000001,7418.829999999999,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-93.69830499999998,15.450274999999968,22111.52315999999,9938.824285000002
106.54783199,-7.36272674,-99.69,4.999999999999999,7685.120000000001,3822.34,Melakukan Optimasi Load Balancing dan Handover Tuning,1.0,0.0,0.0,0.0,1,-89.00459999999997,18.37979999999999,14414.803649999994,4206.040640000002
106.54780117,-7.36272041,-107.62,5.499999999999999,21588.3,3889.58,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-93.56371499999999,17.71502499999997,22303.125659999987,6522.567800000002
106.54777411,-7.36271473,-101.44,3.0,13985.12,6234.65,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-91.17509999999997,16.11349999999999,19101.048600000006,10418.049600000002
