Longitude,Latitude,RSRP(dBm),RSRP(dBm)_after
106.79287091,-6.15172718,-109.93,-97.7092
106.79284961,-6.15169044,-107.44,-96.3355
106.79282567,-6.15165316,-106.71,-94.676205
106.79280179,-6.15162311,-106.94,-95.3276
106.79278384,-6.1515981,-107.61,-95.3124
106.79276837,-6.15157228,-108.27,-95.0615
106.79275088,-6.15154187,-109.24,-96.2725
106.79273327,-6.15150752,-108.03,-96.4359
106.79271444,-6.15146932,-109.25,-95.8652
106.7926964,-6.15143321,-106.61,-94.7523
106.79268061,-6.15140261,-106.2,-95.0607
106.79266603,-6.15137404,-106.81,-95.3485
106.79265516,-6.15134863,-106.27,-94.6044
106.79264754,-6.15132948,-105.8,-92.59401
106.79263746,-6.15131421,-106.44,-92.82241
106.79262622,-6.15130483,-105.65,-92.63111499999998
106.79262557,-6.1513043,-105.92,-92.70121
106.79261521,-6.15130134,-106.36,-93.857905
106.79259933,-6.15130061,-106.83,-94.432505
106.79257837,-6.1513042,-105.44,-92.35590999999998
106.79255736,-6.15130982,-105.79,-93.494305
106.79253061,-6.15131611,-105.49,-92.577205
106.79249911,-6.15132264,-105.35,-92.254705
106.79246938,-6.1513277,-103.32,-91.65860499999998
106.79244263,-6.15133181,-105.74,-92.67601499999998
106.79241682,-6.1513371,-105.27,-92.08100499999998
106.7923895,-6.15134122,-102.74,-91.27180499999996
106.79236195,-6.15134418,-104.43,-92.035005
106.79233631,-6.15134616,-103.46,-91.766205
106.79231658,-6.15134591,-103.07,-91.48180499999997
106.79229895,-6.15134531,-102.35,-90.68420499999998
106.79228649,-6.15134168,-103.71,-91.933505
106.7922774,-6.15133478,-101.07,-93.13987
106.79227295,-6.15132572,-101.16,-93.10817
106.79286538,-6.15182606,-107.17,-93.43180499999998
106.79289034,-6.15187179,-104.47,-92.867
106.79291358,-6.15190733,-105.76,-94.52649999999998
106.79293016,-6.15193319,-105.06,-93.3947
106.79294773,-6.15196951,-101.12,-90.0001
106.79295652,-6.15199573,-97.61,-87.7169
106.79294802,-6.15202324,-98.21,-92.526095
106.79292845,-6.15204594,-101.42,-90.672105
106.79290388,-6.15205962,-98.56,-93.1338
106.79287541,-6.15206941,-94.65,-92.6581
106.79284035,-6.15208012,-94.55,-94.7487
