Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps)
107.09265264,-6.39120041,-86.28,15.67,8740.42,4885.76
107.09264579,-6.39121792,-86.72,15.75,8259.54,6251.5
107.09263892,-6.39123874,-81.6,17.25,5006.8,7192.09
107.09263193,-6.39125936,-84.46,16.75,9121.76,7261.0
107.0926241,-6.39128007,-84.46,17.75,4372.37,5465.75
107.09261423,-6.39130258,-82.79,15.5,3287.43,5543.01
107.09260399,-6.39132444,-83.19,15.5,6269.74,4757.01
107.09259809,-6.3913408,-82.87,14.67,4438.88,4513.22
107.09259326,-6.39135711,-84.8,14.25,3004.59,4137.4
107.09258614,-6.39137786,-84.07,15.5,6897.94,3786.67
107.09257827,-6.39140069,-85.32,15.75,4405.07,3647.58
107.09257244,-6.3914204,-82.51,13.5,6956.99,2854.37
107.09256559,-6.39144574,-82.97,13.5,7318.86,3337.17
107.09255783,-6.39146787,-77.34,17.25,14418.69,2940.06
107.09254965,-6.39148813,-78.54,15.0,5862.66,2802.3
107.09254157,-6.39151096,-85.36,14.5,9626.25,2473.77
107.09253408,-6.39153311,-86.28,16.25,6933.47,2862.4
107.09252706,-6.39155057,-88.45,14.25,4391.19,2433.25
107.09252131,-6.39156618,-90.88,15.0,13880.42,3276.26
107.09251485,-6.3915819,-94.74,14.5,9730.88,3365.43
107.09250826,-6.39159587,-90.59,13.75,8770.73,4665.29
107.09250155,-6.39161013,-83.94,14.0,9996.49,6025.8
107.09249326,-6.39162804,-86.58,15.25,7399.52,6995.33
107.09248642,-6.39164368,-89.15,15.5,5326.75,8243.85
107.09247495,-6.39166289,-89.35,15.0,5547.36,8714.21
107.09246319,-6.39168531,-87.7,13.0,6249.17,7865.42
107.09245627,-6.39170833,-89.02,12.0,5281.32,5941.53
107.09245222,-6.39173028,-88.46,12.75,3947.2,6226.88
107.09244976,-6.39175511,-86.48,13.33,3393.63,5719.77
107.0924469,-6.39178029,-87.88,12.75,3415.65,5017.09
107.09244509,-6.39180783,-86.45,13.0,2384.4,4890.37
107.09244295,-6.39182953,-85.22,13.75,3107.1,4308.8
